time,direction,entry,sl,tp,score,result,bars_to_result,reasons
2023-01-03 01:52:00,BUY,1828.08,1822.79,1838.68,3.5,WIN,52,"Cấu trúc H4+H1 đồng thuận BOS hướng TĂNG | Giá đang lấp Fair Value Gap (1824.68-1828.47) | Price action xác nhận: bullish_engulfing, bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)"
2023-01-03 09:17:00,BUY,1838.61,1829.32,1857.2,3.5,LOSS,379,Cấu trúc H4+H1 đồng thuận BOS hướng TĂNG | Giá đang lấp Fair Value Gap (1832.33-1838.36) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-01-05 13:48:00,SELL,1839.77,1847.86,1823.59,3.5,TIMEOUT,800,"Cấu trúc H1 có BOS hướng GIẢM (chưa xác nhận trên H4) | Giá đang test lại Order Block bearish_ob (1838.82-1844.85) | Price action xác nhận: bearish_engulfing, bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)"
2023-01-08 23:08:00,BUY,1867.43,1863.47,1875.37,3.5,WIN,174,Cấu trúc H4+H1 đồng thuận BOS hướng TĂNG | Giá đang lấp Fair Value Gap (1864.98-1868.00) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-01-09 05:18:00,BUY,1876.42,1874.44,1880.39,3.5,WIN,119,Cấu trúc H4+H1 đồng thuận BOS hướng TĂNG | Giá đang lấp Fair Value Gap (1875.20-1876.71) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-01-10 14:01:00,BUY,1873.2,1871.39,1876.83,3.5,WIN,2,Cấu trúc H1 có BOS hướng TĂNG (chưa xác nhận trên H4) | Giá đang test lại Order Block bullish_ob (1872.02-1873.28) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
