time,direction,entry,sl,tp,score,result,bars_to_result,reasons
2023-06-08 12:46:00,BUY,1956.94,1955.42,1959.99,3.5,LOSS,3,"Cấu trúc H1 có CHoCH hướng TĂNG (chưa xác nhận trên H4) | Giá đang test lại Order Block bullish_ob (1956.11-1957.49) | Price action xác nhận: bullish_pin_bar, bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)"
2023-06-08 13:31:00,BUY,1961.35,1957.18,1969.71,3.5,WIN,58,Cấu trúc H1 có CHoCH hướng TĂNG (chưa xác nhận trên H4) | Giá đang test lại Order Block bullish_ob (1958.53-1961.22) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-06-12 01:01:00,SELL,1958.0,1975.02,1923.95,3.5,TIMEOUT,800,"Cấu trúc H1 có BOS hướng GIẢM (chưa xác nhận trên H4) | Giá đang test lại Order Block bearish_ob (1958.49-1969.51) | Price action xác nhận: bearish_pin_bar, bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)"
2023-06-12 13:16:00,SELL,1960.13,1975.02,1930.33,4.0,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang test lại Order Block bearish_ob (1958.49-1969.51) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-06-12 13:21:00,SELL,1958.59,1975.02,1925.74,4.0,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang test lại Order Block bearish_ob (1958.49-1969.51) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-06-13 13:14:00,SELL,1961.47,1975.02,1934.35,3.5,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận BOS hướng GIẢM | Giá đang test lại Order Block bearish_ob (1958.49-1969.51) | Price action xác nhận: bearish_pin_bar | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-06-13 13:19:00,SELL,1960.22,1975.02,1930.62,3.5,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận BOS hướng GIẢM | Giá đang test lại Order Block bearish_ob (1958.49-1969.51) | Price action xác nhận: bearish_engulfing | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-06-19 12:35:00,SELL,1951.04,1957.02,1939.08,3.5,TIMEOUT,800,"Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang lấp Fair Value Gap (1950.99-1955.01) | Price action xác nhận: bearish_pin_bar, bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)"
2023-06-19 14:00:00,SELL,1951.17,1957.02,1939.47,3.5,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang lấp Fair Value Gap (1950.99-1955.01) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-06-20 01:08:00,SELL,1950.62,1957.02,1937.81,3.5,WIN,736,"Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang lấp Fair Value Gap (1950.99-1955.01) | Price action xác nhận: bearish_engulfing, bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)"
2023-06-20 07:48:00,BUY,1956.13,1954.67,1959.06,3.5,LOSS,6,Cấu trúc H1 có CHoCH hướng TĂNG (chưa xác nhận trên H4) | Giá đang test lại Order Block bullish_ob (1955.18-1956.20) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
