time,direction,entry,sl,tp,score,result,bars_to_result,reasons
2023-05-19 15:13:00,BUY,1964.76,1963.54,1967.19,3.5,WIN,0,"Cấu trúc H1 có BOS hướng TĂNG (chưa xác nhận trên H4) | Giá đang test lại Order Block bullish_ob (1964.65-1966.86) | Price action xác nhận: bullish_engulfing, bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)"
2023-05-23 13:18:00,BUY,1965.36,1956.9,1982.3,3.5,TIMEOUT,800,Cấu trúc H1 có CHoCH hướng TĂNG (chưa xác nhận trên H4) | Giá đang test lại Order Block bullish_ob (1960.35-1967.24) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-05-30 10:47:00,BUY,1955.44,1934.42,1997.47,3.5,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận CHoCH hướng TĂNG | Giá đang test lại Order Block bullish_ob (1943.60-1961.96) | Price action xác nhận: bullish_engulfing | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-05-30 11:52:00,BUY,1958.82,1934.42,2007.62,3.5,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận CHoCH hướng TĂNG | Giá đang test lại Order Block bullish_ob (1943.60-1961.96) | Price action xác nhận: bullish_engulfing | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-05-30 13:12:00,BUY,1957.43,1934.42,2003.43,3.5,TIMEOUT,800,Cấu trúc H4+H1 đồng thuận CHoCH hướng TĂNG | Giá đang test lại Order Block bullish_ob (1943.60-1961.96) | Price action xác nhận: bullish_pin_bar | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-05-31 02:00:00,SELL,1955.26,1962.51,1940.75,3.5,LOSS,228,"Cấu trúc H1 có CHoCH hướng GIẢM (chưa xác nhận trên H4) | Giá đang test lại Order Block bearish_ob (1955.41-1960.14) | Price action xác nhận: bearish_pin_bar, bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)"
2023-06-01 07:03:00,SELL,1960.51,1966.46,1948.62,3.5,LOSS,225,Cấu trúc H1 có BOS hướng GIẢM (chưa xác nhận trên H4) | Giá đang test lại Order Block bearish_ob (1960.07-1964.33) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-06-04 22:48:00,SELL,1949.04,1950.62,1945.88,3.5,WIN,104,"Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang lấp Fair Value Gap (1948.93-1950.06) | Price action xác nhận: bearish_engulfing, bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)"
