time,direction,entry,sl,tp,score,result,bars_to_result,reasons
2023-11-24 16:25:00,BUY,1999.5,1995.96,2006.57,3.5,WIN,255,"Cấu trúc H4+H1 đồng thuận CHoCH hướng TĂNG | Giá đang lấp Fair Value Gap (1997.13-1999.46) | Price action xác nhận: bullish_pin_bar, bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)"
2023-11-28 13:23:00,BUY,2014.55,2014.2,2015.25,3.5,LOSS,0,"Cấu trúc H4+H1 đồng thuận BOS hướng TĂNG | Giá đang lấp Fair Value Gap (2014.54-2015.22) | Price action xác nhận: bullish_engulfing, bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)"
2023-11-28 18:48:00,BUY,2039.08,2027.93,2061.37,3.5,TIMEOUT,800,"Cấu trúc H4+H1 đồng thuận BOS hướng TĂNG | Giá đang lấp Fair Value Gap (2031.51-2038.67) | Price action xác nhận: bullish_engulfing, bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)"
2023-12-01 08:22:00,BUY,2041.23,2037.94,2047.81,3.5,WIN,67,Cấu trúc H1 có BOS hướng TĂNG (chưa xác nhận trên H4) | Giá đang test lại Order Block bullish_ob (2039.08-2041.36) | Price action xác nhận: bullish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-12-01 11:07:00,SELL,2042.66,2042.88,2042.21,3.5,WIN,1,Cấu trúc H1 có CHoCH hướng GIẢM (chưa xác nhận trên H4) | Giá đang test lại Order Block bearish_ob (2042.41-2042.73) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-12-04 13:09:00,SELL,2068.78,2073.98,2058.36,3.5,WIN,40,Cấu trúc H4+H1 đồng thuận CHoCH hướng GIẢM | Giá đang test lại Order Block bearish_ob (2067.07-2071.68) | Price action xác nhận: bearish_engulfing | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
2023-12-05 10:17:00,SELL,2026.01,2034.16,2009.7,3.5,TIMEOUT,800,Cấu trúc H1 có CHoCH hướng GIẢM (chưa xác nhận trên H4) | Giá đang test lại Order Block bearish_ob (2024.30-2030.88) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-12-05 11:17:00,SELL,2025.8,2034.16,2009.09,3.5,TIMEOUT,800,Cấu trúc H1 có CHoCH hướng GIẢM (chưa xác nhận trên H4) | Giá đang test lại Order Block bearish_ob (2024.30-2030.88) | Price action xác nhận: bearish_rejection | M1 có break nhỏ xác nhận hướng vào lệnh (BOS)
2023-12-05 14:07:00,SELL,2028.1,2034.16,2015.96,3.5,WIN,44,Cấu trúc H4+H1 đồng thuận BOS hướng GIẢM | Giá đang test lại Order Block bearish_ob (2024.30-2030.88) | Price action xác nhận: bearish_engulfing | M1 có break nhỏ xác nhận hướng vào lệnh (CHoCH)
